Jokioinen Ilmala,10110,60.81,23.50
Turku Artukainen,100949,60.45,22.18
Salo Kiikala lentokenttä,100967,60.46,23.65
Vantaa Helsinki-Vantaan lentoasema,100968,60.33,24.96
Lahti Laune,101152,60.96,25.63
Mäntsälä Hirvihaara,103794,60.63,25.19
Kokemäki Tulkkila,101103,61.25,22.35
Porvoo Harabacka,101028,60.39,25.61
Kouvola Utti lentoasema,101191,60.90,26.95
Pirkkala Tampere-Pirkkala lentoasema,101118,61.42,23.62
Jyväskylä lentoasema,101339,62.40,25.67
Pori rautatieasema,101064,61.48,21.78
Mikkeli lentoasema,101398,61.69,27.20